step,checkpoint,checkpoint_step,boundary_gap_filled,raw_demand,demand,capacity,task_count,capacity_per_task,slo_violation,reactive_task_count,reactive_capacity
282,100,0,False,0.8243116736412048,0.8243116736412048,1.0,1,1.0,False,2,2.0
283,100,1,False,0.809164822101593,0.809164822101593,1.0,1,1.0,False,2,2.0
284,100,2,False,0.8845711350440979,0.8845711350440979,1.0,1,1.0,False,2,2.0
285,100,3,False,1.0438756942749023,1.0438756942749023,1.0,1,1.0,True,2,2.0
286,100,4,False,0.9158543944358826,0.9158543944358826,1.0,1,1.0,False,2,2.0
287,100,5,False,1.1961643695831299,1.1961643695831299,1.0,1,1.0,True,2,2.0
288,100,6,False,1.6710014343261719,1.6710014343261719,2.0,2,1.0,False,4,4.0
289,100,7,False,1.631878137588501,1.631878137588501,3.0,3,1.0,False,4,4.0
290,100,8,False,1.2622506618499756,1.2622506618499756,3.0,3,1.0,False,4,4.0
291,100,9,False,1.15245521068573,1.15245521068573,3.0,3,1.0,False,4,4.0
292,100,10,False,1.2565847635269165,1.2565847635269165,3.0,3,1.0,False,4,4.0
293,100,11,False,1.02068293094635,1.02068293094635,2.0,2,1.0,False,4,4.0
294,100,12,False,1.1547869443893433,1.1547869443893433,2.0,2,1.0,False,4,4.0
295,100,13,False,0.9025716185569763,0.9025716185569763,2.0,2,1.0,False,4,4.0
296,100,14,False,0.804466724395752,0.804466724395752,1.0,1,1.0,False,4,4.0
297,100,15,False,0.9464837908744812,0.9464837908744812,2.0,2,1.0,False,4,4.0
298,100,16,False,1.1284286975860596,1.1284286975860596,2.0,2,1.0,False,3,3.0
299,100,17,False,1.141619324684143,1.141619324684143,2.0,2,1.0,False,3,3.0
300,100,18,False,1.0745922327041626,1.0745922327041626,2.0,2,1.0,False,3,3.0
301,100,19,False,1.0988593101501465,1.0988593101501465,2.0,2,1.0,False,3,3.0
302,100,20,False,1.0920696258544922,1.0920696258544922,2.0,2,1.0,False,3,3.0
303,100,21,False,1.1425193548202515,1.1425193548202515,2.0,2,1.0,False,3,3.0
304,100,22,False,0.8571900725364685,0.8571900725364685,1.0,1,1.0,False,3,3.0
305,100,23,False,0.8450769186019897,0.8450769186019897,1.0,1,1.0,False,3,3.0
306,100,24,False,0.8579981923103333,0.8579981923103333,1.0,1,1.0,False,3,3.0
307,100,25,False,0.8247125744819641,0.8247125744819641,1.0,1,1.0,False,3,3.0
308,100,26,False,0.792996346950531,0.792996346950531,1.0,1,1.0,False,3,3.0
309,100,27,False,0.8708991408348083,0.8708991408348083,1.0,1,1.0,False,2,2.0
